timestamp,iso_time,cpu_percent,ram_percent,gpu_percent
1762624866.9908197,2025-11-08T18:01:06.990820,42.6,47.0,0.0
1762624868.3227046,2025-11-08T18:01:08.322705,39.8,46.9,0.0
1762624869.5749526,2025-11-08T18:01:09.574953,26.7,46.9,0.0
1762624870.8569646,2025-11-08T18:01:10.856965,32.6,46.9,0.0
1762624872.1425505,2025-11-08T18:01:12.142550,34.6,46.8,0.0
1762624873.5165434,2025-11-08T18:01:13.516543,44.6,46.9,0.0
1762624874.945819,2025-11-08T18:01:14.945819,41.6,47.2,0.0
1762624876.1782532,2025-11-08T18:01:16.178253,54.1,47.2,0.0
1762624877.45457,2025-11-08T18:01:17.454570,39.7,47.3,0.0
1762624878.7779584,2025-11-08T18:01:18.777958,54.0,47.3,0.0
1762624880.189114,2025-11-08T18:01:20.189114,36.2,47.3,0.0
1762624881.4226983,2025-11-08T18:01:21.422698,23.5,47.3,0.0
1762624882.9320977,2025-11-08T18:01:22.932098,39.9,47.3,0.0
1762624884.714947,2025-11-08T18:01:24.714947,90.4,47.7,0.0
1762624886.4340212,2025-11-08T18:01:26.434021,83.8,47.7,0.0
1762624888.931931,2025-11-08T18:01:28.931931,87.4,47.7,0.0
1762624890.6485667,2025-11-08T18:01:30.648567,66.5,48.0,0.0
1762624891.9440334,2025-11-08T18:01:31.944033,44.3,47.9,0.0
1762624893.270986,2025-11-08T18:01:33.270986,38.3,47.9,0.0
1762624894.754434,2025-11-08T18:01:34.754434,64.0,48.3,0.0
1762624896.3958533,2025-11-08T18:01:36.395853,50.6,50.8,0.0
1762624897.6946232,2025-11-08T18:01:37.694623,56.7,50.4,0.0
1762624899.056965,2025-11-08T18:01:39.056965,57.9,50.0,0.0
1762624900.7938626,2025-11-08T18:01:40.793863,65.8,49.4,0.0
1762624902.1809466,2025-11-08T18:01:42.180947,49.3,49.3,0.0
1762624903.4987328,2025-11-08T18:01:43.498733,37.6,49.5,0.0
1762624904.7679684,2025-11-08T18:01:44.767968,49.2,49.5,0.0
1762624906.380818,2025-11-08T18:01:46.380818,57.3,49.7,0.0
1762624907.7623663,2025-11-08T18:01:47.762366,66.2,50.3,0.0
1762624909.1588202,2025-11-08T18:01:49.158820,27.6,50.3,0.0
1762624910.7417915,2025-11-08T18:01:50.741791,56.4,50.2,0.0
1762624912.0767689,2025-11-08T18:01:52.076769,35.9,50.2,0.0
1762624913.347515,2025-11-08T18:01:53.347515,62.5,50.2,0.0
1762624914.6703377,2025-11-08T18:01:54.670338,43.5,50.2,0.0
1762624915.9940295,2025-11-08T18:01:55.994030,64.1,50.3,0.0
1762624917.4153228,2025-11-08T18:01:57.415323,62.9,50.4,0.0
1762624918.8148465,2025-11-08T18:01:58.814847,54.2,50.4,0.0
1762624920.177796,2025-11-08T18:02:00.177796,19.3,50.3,0.0
1762624921.4648693,2025-11-08T18:02:01.464869,22.1,50.2,0.0
1762624922.7273598,2025-11-08T18:02:02.727360,21.9,50.1,0.0
1762624923.969998,2025-11-08T18:02:03.969998,22.5,50.1,0.0
1762624925.2145996,2025-11-08T18:02:05.214600,25.1,49.7,0.0
1762624926.5865705,2025-11-08T18:02:06.586571,60.2,50.0,0.0
1762624928.2580028,2025-11-08T18:02:08.258003,64.7,49.7,0.0
1762624929.8602633,2025-11-08T18:02:09.860263,62.4,49.9,0.0
1762624931.158885,2025-11-08T18:02:11.158885,42.9,49.9,0.0
1762624932.4117746,2025-11-08T18:02:12.411775,25.2,49.9,0.0
1762624933.6780758,2025-11-08T18:02:13.678076,28.0,49.8,0.0
1762624934.990076,2025-11-08T18:02:14.990076,39.1,49.9,0.0
1762624936.3542068,2025-11-08T18:02:16.354207,34.9,49.6,0.0
1762624937.6357872,2025-11-08T18:02:17.635787,29.9,49.6,0.0
1762624938.9600818,2025-11-08T18:02:18.960082,39.3,49.6,0.0
1762624940.2743545,2025-11-08T18:02:20.274354,42.5,49.6,0.0
1762624941.6167436,2025-11-08T18:02:21.616744,59.9,49.6,0.0
1762624943.038948,2025-11-08T18:02:23.038948,34.8,49.7,0.0
1762624944.4751189,2025-11-08T18:02:24.475119,55.6,49.8,0.0
1762624945.8364816,2025-11-08T18:02:25.836482,54.0,49.9,0.0
1762624947.1575978,2025-11-08T18:02:27.157598,46.5,49.8,0.0
1762624948.6393108,2025-11-08T18:02:28.639311,54.4,49.9,0.0
1762624949.9070349,2025-11-08T18:02:29.907035,24.3,50.0,0.0
